Date,Time,CminusO,DCminusDO,DOminusYC
1130122,1215,-1,29,18
1130122,1220,4,29,18
1130122,1225,-1,29,18
1130122,1230,-5,29,18
1130122,1235,8,29,18
1130122,1240,0,29,18
1130122,1245,7,29,18
1130122,1250,-10,29,18
1130122,1255,2,29,18
1130122,1300,4,29,18
1130122,1305,-4,29,18
1130122,1310,0,29,18
1130122,1315,2,29,18
1130122,1320,7,29,18
1130122,1325,-5,29,18
1130122,1330,2,29,18
1130122,1335,6,29,18
1130122,1340,-2,29,18
1130122,1345,1,29,18
1130123,850,-6,-54,26
1130123,855,-3,-54,26
1130123,900,4,-54,26
1130123,905,-13,-54,26
1130123,910,6,-54,26
1130123,915,-1,-54,26
1130123,920,-10,-54,26
1130123,925,2,-54,26
1130123,930,-3,-54,26
1130123,935,2,-54,26
1130123,940,-2,-54,26
1130123,945,4,-54,26
1130123,950,8,-54,26
1130123,955,-1,-54,26
1130123,1000,-1,-54,26
1130123,1005,-26,-54,26
1130123,1010,5,-54,26
1130123,1015,-1,-54,26
1130123,1020,7,-54,26
1130123,1025,-2,-54,26
1130123,1030,4,-54,26
1130123,1035,-3,-54,26
1130123,1040,-4,-54,26
1130123,1045,-3,-54,26
1130123,1050,0,-54,26
1130123,1055,-11,-54,26
1130123,1100,1,-54,26
1130123,1105,1,-54,26
1130123,1110,5,-54,26
1130123,1115,-6,-54,26
1130123,1120,5,-54,26
1130123,1125,1,-54,26
1130123,1130,8,-54,26
1130123,1135,0,-54,26
1130123,1140,-9,-54,26
1130123,1145,-9,-54,26
1130123,1150,2,-54,26
1130123,1155,3,-54,26
1130123,1200,-3,-54,26
1130123,1205,4,-54,26
1130123,1210,-5,-54,26
1130123,1215,3,-54,26
1130123,1220,0,-54,26
1130123,1225,-1,-54,26
1130123,1230,-4,-54,26
1130123,1235,0,-54,26
1130123,1240,0,-54,26
1130123,1245,0,-54,26
1130123,1250,5,-54,26
1130123,1255,-1,-54,26
1130123,1300,6,-54,26
1130123,1305,3,-54,26
1130123,1310,-9,-54,26
1130123,1315,-3,-54,26
1130123,1320,0,-54,26
1130123,1325,5,-54,26
1130123,1330,0,-54,26
1130123,1335,1,-54,26
1130123,1340,-5,-54,26
1130123,1345,-2,-54,26
1130124,850,-10,-6,-35
1130124,855,-7,-6,-35
1130124,900,3,-6,-35
1130124,905,-10,-6,-35
1130124,910,7,-6,-35
1130124,915,0,-6,-35
1130124,920,-7,-6,-35
1130124,925,-37,-6,-35
1130124,930,6,-6,-35
1130124,935,18,-6,-35
1130124,940,7,-6,-35
1130124,945,-1,-6,-35
1130124,950,-2,-6,-35
1130124,955,7,-6,-35
1130124,1000,-3,-6,-35
1130124,1005,27,-6,-35
1130124,1010,1,-6,-35
1130124,1015,4,-6,-35
1130124,1020,11,-6,-35
1130124,1025,-2,-6,-35
1130124,1030,8,-6,-35
1130124,1035,0,-6,-35
1130124,1040,0,-6,-35
1130124,1045,3,-6,-35
1130124,1050,8,-6,-35
1130124,1055,-5,-6,-35
1130124,1100,-6,-6,-35
1130124,1105,0,-6,-35
1130124,1110,-6,-6,-35
1130124,1115,-10,-6,-35
1130124,1120,3,-6,-35
1130124,1125,-6,-6,-35
1130124,1130,-10,-6,-35
1130124,1135,6,-6,-35
1130124,1140,6,-6,-35
1130124,1145,1,-6,-35
1130124,1150,-2,-6,-35
1130124,1155,0,-6,-35
1130124,1200,-4,-6,-35
1130124,1205,-2,-6,-35
1130124,1210,6,-6,-35
1130124,1215,1,-6,-35
1130124,1220,-2,-6,-35
1130124,1225,-3,-6,-35
1130124,1230,-4,-6,-35
1130124,1235,3,-6,-35
1130124,1240,1,-6,-35
1130124,1245,2,-6,-35
1130124,1250,-3,-6,-35
1130124,1255,-11,-6,-35
1130124,1300,-10,-6,-35
1130124,1305,4,-6,-35
1130124,1310,1,-6,-35
1130124,1315,-4,-6,-35
1130124,1320,1,-6,-35
1130124,1325,2,-6,-35
1130124,1330,-1,-6,-35
1130124,1335,2,-6,-35
1130124,1340,3,-6,-35
1130124,1345,8,-6,-35
1130125,850,-3,-13,-20
1130125,855,-4,-13,-20
1130125,900,1,-13,-20
1130125,905,26,-13,-20
1130125,910,-25,-13,-20
1130125,915,-4,-13,-20
1130125,920,4,-13,-20
1130125,925,-3,-13,-20
1130125,930,12,-13,-20
1130125,935,-2,-13,-20
1130125,940,-15,-13,-20
1130125,945,3,-13,-20
1130125,950,-2,-13,-20
1130125,955,0,-13,-20
1130125,1000,-17,-13,-20
1130125,1005,-3,-13,-20
1130125,1010,0,-13,-20
1130125,1015,-4,-13,-20
1130125,1020,1,-13,-20
1130125,1025,6,-13,-20
1130125,1030,-6,-13,-20
1130125,1035,9,-13,-20
1130125,1040,5,-13,-20
1130125,1045,2,-13,-20
1130125,1050,-8,-13,-20
1130125,1055,1,-13,-20
1130125,1100,1,-13,-20
1130125,1105,-5,-13,-20
1130125,1110,-3,-13,-20
1130125,1115,4,-13,-20
1130125,1120,-3,-13,-20
1130125,1125,1,-13,-20
1130125,1130,4,-13,-20
1130125,1135,3,-13,-20
1130125,1140,-2,-13,-20
1130125,1145,-2,-13,-20
1130125,1150,-2,-13,-20
1130125,1155,4,-13,-20
1130125,1200,-1,-13,-20
1130125,1205,-6,-13,-20
1130125,1210,4,-13,-20
1130125,1215,-4,-13,-20
1130125,1220,1,-13,-20
1130125,1225,3,-13,-20
1130125,1230,8,-13,-20
1130125,1235,7,-13,-20
1130125,1240,1,-13,-20
1130125,1245,0,-13,-20
1130125,1250,-4,-13,-20
1130125,1255,-1,-13,-20
1130125,1300,0,-13,-20
1130125,1305,4,-13,-20
1130125,1310,-1,-13,-20
1130125,1315,4,-13,-20
1130125,1320,4,-13,-20
1130125,1325,-2,-13,-20
1130125,1330,10,-13,-20
1130125,1335,-9,-13,-20
1130125,1340,4,-13,-20
1130125,1345,-4,-13,-20
1130128,850,10,110,-29
1130128,855,11,110,-29
1130128,900,45,110,-29
1130128,905,23,110,-29
